Nationalratswahl 2019, 29.09.2019 (Bericht wurde generiert am 08.10.2019 um 16:42)
Bezirk_Id;Bezirk;Gemeinde_Id;Gemeinde;Wahlberechtigte männlich;Wahlberechtigte weiblich;Auslandsösterreicher Wahlberechtigte männlich;Auslandsösterreicher Wahlberechtigte weiblich;Wahlberechtigte gesamt;Abgegebene Stimmen;Wahlbeteiligung;Gültige Stimmen;Ungültige Stimmen;Nr./Wählergruppe1;Name/Wählergruppe1;Stimmen/Wählergruppe1;Prozente/Wählergruppe1;Nr./Wählergruppe2;Name/Wählergruppe2;Stimmen/Wählergruppe2;Prozente/Wählergruppe2;Nr./Wählergruppe3;Name/Wählergruppe3;Stimmen/Wählergruppe3;Prozente/Wählergruppe3;Nr./Wählergruppe4;Name/Wählergruppe4;Stimmen/Wählergruppe4;Prozente/Wählergruppe4;Nr./Wählergruppe5;Name/Wählergruppe5;Stimmen/Wählergruppe5;Prozente/Wählergruppe5;Nr./Wählergruppe6;Name/Wählergruppe6;Stimmen/Wählergruppe6;Prozente/Wählergruppe6;Nr./Wählergruppe7;Name/Wählergruppe7;Stimmen/Wählergruppe7;Prozente/Wählergruppe7;Nr./Wählergruppe8;Name/Wählergruppe8;Stimmen/Wählergruppe8;Prozente/Wählergruppe8;Nr./Wählergruppe9;Name/Wählergruppe9;Stimmen/Wählergruppe9;Prozente/Wählergruppe9;
702;Imst;70215;Rietz;887;929;3;3;1816;1080;59,47;1065;15;1;ÖVP;426;40,00;2;SPÖ;156;14,65;3;FPÖ;245;23,00;4;NEOS;83;7,79;5;JETZT;19;1,78;6;GRÜNE;112;10,52;7;GILT;11;1,03;8;KPÖ;6;0,56;9;WANDL;7;0,66;
702;Imst;70216;Roppen;657;686;2;1;1343;803;59,79;792;11;1;ÖVP;397;50,13;2;SPÖ;141;17,80;3;FPÖ;105;13,26;4;NEOS;54;6,82;5;JETZT;5;0,63;6;GRÜNE;78;9,85;7;GILT;3;0,38;8;KPÖ;5;0,63;9;WANDL;4;0,51;
702;Imst;70218;Sautens;556;572;3;9;1128;617;54,70;616;1;1;ÖVP;334;54,22;2;SPÖ;54;8,77;3;FPÖ;100;16,23;4;NEOS;56;9,09;5;JETZT;12;1,95;6;GRÜNE;49;7,95;7;GILT;2;0,32;8;KPÖ;6;0,97;9;WANDL;3;0,49;
702;Imst;70219;Silz;978;988;4;6;1966;1151;58,55;1141;10;1;ÖVP;468;41,02;2;SPÖ;182;15,95;3;FPÖ;184;16,13;4;NEOS;98;8,59;5;JETZT;34;2,98;6;GRÜNE;156;13,67;7;GILT;5;0,44;8;KPÖ;10;0,88;9;WANDL;4;0,35;
702;Imst;70220;Sölden;1073;1113;5;10;2186;1199;54,85;1191;8;1;ÖVP;827;69,44;2;SPÖ;30;2,52;3;FPÖ;165;13,85;4;NEOS;88;7,39;5;JETZT;13;1,09;6;GRÜNE;59;4,95;7;GILT;0;0,00;8;KPÖ;2;0,17;9;WANDL;7;0,59;
702;Imst;70217;St. Leonhard im Pitztal;558;520;2;0;1078;630;58,44;626;4;1;ÖVP;480;76,68;2;SPÖ;13;2,08;3;FPÖ;89;14,22;4;NEOS;17;2,72;5;JETZT;1;0,16;6;GRÜNE;24;3,83;7;GILT;0;0,00;8;KPÖ;0;0,00;9;WANDL;2;0,32;
702;Imst;70221;Stams;560;562;3;2;1122;630;56,15;627;3;1;ÖVP;291;46,41;2;SPÖ;83;13,24;3;FPÖ;102;16,27;4;NEOS;52;8,29;5;JETZT;12;1,91;6;GRÜNE;83;13,24;7;GILT;1;0,16;8;KPÖ;2;0,32;9;WANDL;1;0,16;
702;Imst;70222;Tarrenz;1042;1058;8;7;2100;1200;57,14;1190;10;1;ÖVP;568;47,73;2;SPÖ;110;9,24;3;FPÖ;289;24,29;4;NEOS;83;6,97;5;JETZT;21;1,76;6;GRÜNE;107;8,99;7;GILT;3;0,25;8;KPÖ;2;0,17;9;WANDL;7;0,59;
702;Imst;70223;Umhausen;1221;1193;11;13;2414;1431;59,28;1419;12;1;ÖVP;844;59,48;2;SPÖ;87;6,13;3;FPÖ;266;18,75;4;NEOS;121;8,53;5;JETZT;18;1,27;6;GRÜNE;77;5,43;7;GILT;4;0,28;8;KPÖ;1;0,07;9;WANDL;1;0,07;
702;Imst;70224;Wenns;799;810;3;10;1609;874;54,32;868;6;1;ÖVP;551;63,48;2;SPÖ;59;6,80;3;FPÖ;140;16,13;4;NEOS;48;5,53;5;JETZT;12;1,38;6;GRÜNE;53;6,11;7;GILT;1;0,12;8;KPÖ;2;0,23;9;WANDL;2;0,23;
703;Innsbruck-Land;70301;Absam;2744;2976;26;42;5720;3557;62,19;3531;26;1;ÖVP;1412;39,99;2;SPÖ;487;13,79;3;FPÖ;494;13,99;4;NEOS;406;11,50;5;JETZT;51;1,44;6;GRÜNE;642;18,18;7;GILT;2;0,06;8;KPÖ;28;0,79;9;WANDL;9;0,25;
703;Innsbruck-Land;70302;Aldrans;952;1024;10;7;1976;1196;60,53;1190;6;1;ÖVP;544;45,71;2;SPÖ;89;7,48;3;FPÖ;135;11,34;4;NEOS;150;12,61;5;JETZT;19;1,60;6;GRÜNE;237;19,92;7;GILT;1;0,08;8;KPÖ;10;0,84;9;WANDL;5;0,42;
703;Innsbruck-Land;70303;Ampass;648;660;7;9;1308;796;60,86;791;5;1;ÖVP;337;42,60;2;SPÖ;77;9,73;3;FPÖ;121;15,30;4;NEOS;88;11,13;5;JETZT;14;1,77;6;GRÜNE;147;18,58;7;GILT;2;0,25;8;KPÖ;3;0,38;9;WANDL;2;0,25;
703;Innsbruck-Land;70304;Axams;2252;2418;15;19;4670;2715;58,14;2697;18;1;ÖVP;1096;40,64;2;SPÖ;386;14,31;3;FPÖ;415;15,39;4;NEOS;237;8,79;5;JETZT;41;1,52;6;GRÜNE;487;18,06;7;GILT;4;0,15;8;KPÖ;22;0,82;9;WANDL;9;0,33;
